trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,FALSE,"{'a': 0.001, 'e': 0.9933947843142158}",25,0,-82.27231692,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
117,FALSE,"{'a': 0.001, 'e': 0.9932795409475959}",20,0,-72.71081378,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
118,FALSE,"{'a': 0.001, 'e': 0.9931633043015177}",20,0,-93.20675817,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
119,FALSE,"{'a': 0.001, 'e': 0.993046074492218}",20,0,-102.7918207,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
120,FALSE,"{'a': 0.001, 'e': 0.9929278516369265}",30,0,-40.44199736,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
121,FALSE,"{'a': 0.001, 'e': 0.9928086358538663}",25,0,-129.9750699,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
122,FALSE,"{'a': 0.001, 'e': 0.9926884272622528}",20,0,-85.63178036,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
123,FALSE,"{'a': 0.001, 'e': 0.9925672259822949}",30,0,-134.5820873,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
124,FALSE,"{'a': 0.001, 'e': 0.9924450321351935}",20,0,-125.1314802,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
125,FALSE,"{'a': 0.001, 'e': 0.9923218458431429}",30,12,-122.7945165,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 2}",1
126,FALSE,"{'a': 0.001, 'e': 0.992197667229329}",20,2,-116.9300733,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 2}",1
127,FALSE,"{'a': 0.001, 'e': 0.9920724964179307}",30,2,-116.2376336,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 2}",1
128,FALSE,"{'a': 0.001, 'e': 0.9919463335341185}",30,0,-118.0702878,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
129,FALSE,"{'a': 0.001, 'e': 0.9918191787040556}",30,0,-191.5537119,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
130,FALSE,"{'a': 0.001, 'e': 0.9916910320548965}",25,0,-55.95179414,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
131,FALSE,"{'a': 0.001, 'e': 0.9915618937147881}",20,13,-0.561953534,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,FALSE,"{'a': 0.001, 'e': 0.9914317638128685}",30,0,-193.2543816,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
133,FALSE,"{'a': 0.001, 'e': 0.9913006424792677}",30,8,-101.3485409,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
134,FALSE,"{'a': 0.001, 'e': 0.9911685298451072}",30,0,-136.8870083,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
135,FALSE,"{'a': 0.001, 'e': 0.9910354260424993}",25,15,-72.79414628,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 2}",1
136,FALSE,"{'a': 0.001, 'e': 0.9909013312045479}",25,0,-160.4826415,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
137,FALSE,"{'a': 0.001, 'e': 0.990766245465348}",25,0,-157.9072878,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
138,FALSE,"{'a': 0.001, 'e': 0.9906301689599851}",30,0,-193.1341861,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
139,FALSE,"{'a': 0.001, 'e': 0.9904931018245359}",35,0,-187.4538017,"{0: 17, 1: 9, 2: 6, 3: 1, 4: 2}",0
140,FALSE,"{'a': 0.001, 'e': 0.9903550441960673}",30,0,-75.34064081,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
141,FALSE,"{'a': 0.001, 'e': 0.9902159962126371}",25,0,-127.6082053,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
142,FALSE,"{'a': 0.001, 'e': 0.9900759580132933}",25,8,-68.11118118,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
143,FALSE,"{'a': 0.001, 'e': 0.9899349297380738}",20,0,-83.75406877,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
144,FALSE,"{'a': 0.001, 'e': 0.9897929115280072}",35,23,-6.913968378,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
145,FALSE,"{'a': 0.001, 'e': 0.9896499035251115}",30,3,-70.50449358,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 0}",1
146,FALSE,"{'a': 0.001, 'e': 0.9895059058723947}",20,0,-102.7168891,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
147,FALSE,"{'a': 0.001, 'e': 0.9893609187138546}",25,0,-198.4893701,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
148,FALSE,"{'a': 0.001, 'e': 0.9892149421944781}",25,0,-141.5053053,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
149,FALSE,"{'a': 0.001, 'e': 0.989067976460242}",25,0,-123.4306156,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
150,FALSE,"{'a': 0.001, 'e': 0.9889200216581118}",30,0,-44.19069413,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
151,FALSE,"{'a': 0.001, 'e': 0.9887710779360422}",25,0,-71.87639736,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
152,FALSE,"{'a': 0.001, 'e': 0.9886211454429773}",25,0,-105.9237921,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
153,FALSE,"{'a': 0.001, 'e': 0.9884702243288492}",25,0,-158.8493042,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
154,FALSE,"{'a': 0.001, 'e': 0.9883183147445792}",30,0,-83.61608677,"{0: 17, 1: 4, 2: 9, 3: 0, 4: 0}",0
155,FALSE,"{'a': 0.001, 'e': 0.9881654168420767}",25,0,-226.9136345,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
156,FALSE,"{'a': 0.001, 'e': 0.9880115307742399}",20,7,-33.73072519,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
157,FALSE,"{'a': 0.001, 'e': 0.9878566566949545}",20,0,-64.63114485,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
158,FALSE,"{'a': 0.001, 'e': 0.9877007947590948}",20,0,-105.1590197,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
159,FALSE,"{'a': 0.001, 'e': 0.9875439451225226}",20,0,-163.3652528,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
160,FALSE,"{'a': 0.001, 'e': 0.9873861079420876}",20,0,-163.4354231,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
161,FALSE,"{'a': 0.001, 'e': 0.9872272833756269}",25,5,-61.83940109,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",1
